date,Alexis Arguello,Antonio Cervantes,Davey Moore,Julio Cesar Chavez,Larry Holmes,Marvin Hagler,Michael Spinks,Muhammad Ali,Roberto Duran,Sugar Ray Leonard,Thomas Hearns
1980-02-01,2064.43321602,2111.65895618,2070.99799421,,2008.88904874,2029.87376139,1627.2849125,2266.63221286,2102.97046646,2038.11372194,1905.54535735
1980-02-03,2064.43321602,2111.65895618,2070.99799421,,2019.9137344,2029.87376139,1627.2849125,2266.63221286,2102.97046646,2038.11372194,1912.05324505
1980-02-16,2064.43321602,2111.65895618,2070.99799421,,2019.9137344,2042.46030891,1627.2849125,2266.63221286,2102.97046646,2038.11372194,1912.05324505
1980-02-24,2064.43321602,2111.65895618,2070.99799421,,2019.9137344,2042.46030891,1659.64286289,2266.63221286,2104.16226098,2038.11372194,1912.05324505
1980-03-02,2064.43321602,2111.65895618,2070.99799421,,2019.9137344,2042.46030891,1659.64286289,2266.63221286,2104.16226098,2038.11372194,1938.39831827
1980-03-03,2064.43321602,2111.65895618,2070.99799421,1250.0,2019.9137344,2042.46030891,1659.64286289,2266.63221286,2104.16226098,2038.11372194,1938.39831827
1980-03-29,2064.43321602,2119.039363,2070.99799421,1250.0,2019.9137344,2042.46030891,1659.64286289,2266.63221286,2104.16226098,2038.11372194,1938.39831827
1980-03-31,2066.10814268,2119.039363,2070.99799421,1250.0,2031.16015009,2042.46030891,1659.64286289,2266.63221286,2104.16226098,2052.40971625,1944.42058195
1980-04-08,2066.10814268,2119.039363,2070.99799421,1289.27072575,2031.16015009,2042.46030891,1659.64286289,2266.63221286,2104.16226098,2052.40971625,1944.42058195
1980-04-19,2066.10814268,2119.039363,2070.99799421,1289.27072575,2031.16015009,2055.04754211,1659.64286289,2266.63221286,2104.16226098,2052.40971625,1944.42058195
1980-04-27,2074.53805784,2119.039363,2070.99799421,1289.27072575,2031.16015009,2055.04754211,1659.64286289,2266.63221286,2104.16226098,2052.40971625,1944.42058195
1980-05-03,2074.53805784,2119.039363,2070.99799421,1289.27072575,2031.16015009,2055.04754211,1659.64286289,2266.63221286,2104.16226098,2052.40971625,1959.95555049
1980-05-04,2074.53805784,2119.039363,2070.99799421,1289.27072575,2031.16015009,2055.04754211,1690.73541951,2266.63221286,2104.16226098,2052.40971625,1959.95555049
1980-05-17,2074.53805784,2119.039363,2070.99799421,1289.27072575,2031.16015009,2063.19927994,1690.73541951,2266.63221286,2104.16226098,2052.40971625,1959.95555049
1980-05-20,2074.53805784,2119.039363,2070.99799421,1343.24041626,2031.16015009,2063.19927994,1690.73541951,2266.63221286,2104.16226098,2052.40971625,1959.95555049
1980-06-20,2074.53805784,2119.039363,2070.99799421,1343.24041626,2031.16015009,2063.19927994,1690.73541951,2266.63221286,2125.4656655,2031.10631174,1959.95555049
1980-07-07,2074.53805784,2119.039363,2070.99799421,1343.24041626,2037.01649512,2063.19927994,1690.73541951,2266.63221286,2125.4656655,2031.10631174,1959.95555049
1980-07-18,2074.53805784,2119.039363,2070.99799421,1373.72011181,2037.01649512,2063.19927994,1690.73541951,2266.63221286,2125.4656655,2031.10631174,1959.95555049
1980-08-02,2074.53805784,2074.65318775,2070.99799421,1373.72011181,2037.01649512,2063.19927994,1701.52962169,2266.63221286,2125.4656655,2031.10631174,2002.70331739
